equity,depression,health,class,weight_jin,family_status,class_10_after,inc_exp,floor_area,inc_ability,family_m,family_income,public_service_7,birth,social_neighbor,neighbor_familiarity,view,public_service_6,public_service_3,leisure_8,income,height_cm,public_service_4,house,relax,media_3,leisure_9,public_service_1,status_3_before,public_service_2,s_income,class_14,edu,media_4,f_work_14,public_service_9,status_peer,public_service_8,class_10_before,trust_2,public_service_5,trust_1,gender,s_edu,leisure_1,m_birth,leisure_6,social_friend,marital,socialize,trust_9,trust_5,m_work_14,trust_6,trust_13,nationality
4,5,4.0,4,100,3.0,4.0,50000.0,200.0,2.0,5.0,60000.0,81.0,20,2.0,4.0,4.0,79.0,80.0,3.0,24000.0,165,80.0,1.0,3.0,1.0,4.0,78.0,2.0,80.0,36000.0,3.0,6.0,5.0,2.0,80.0,2.0,80.0,3.0,4.0,80.0,3.0,2,5.0,1.0,1968.0,4.0,3.0,3,3.0,5.0,4.0,2.0,4.0,3.0,1.0
2,2,4.0,6,120,3.0,7.0,40000.0,199.0,2.0,3.0,16500.0,62.0,40,5.0,5.0,4.0,80.0,60.0,5.0,8000.0,173,70.0,3.0,4.0,5.0,5.0,100.0,1.0,20.0,8000.0,5.0,1.0,5.0,2.0,75.0,3.0,52.0,6.0,5.0,60.0,5.0,1,1.0,1.0,1948.0,5.0,5.0,3,4.0,3.0,5.0,2.0,4.0,1.0,1.0
3,4,4.0,4,120,2.0,5.0,50000.0,80.0,2.0,2.0,36000.0,70.0,50,5.0,4.0,5.0,70.0,70.0,3.0,36000.0,171,70.0,1.0,3.0,2.0,1.0,80.0,1.0,80.0,0.0,4.0,10.0,4.0,1.0,60.0,2.0,70.0,4.0,3.0,70.0,2.0,1,7.0,1.0,1936.0,4.0,5.0,3,2.0,3.0,4.0,1.0,3.0,1.0,1.0
3,1,1.0,1,115,3.0,1.0,40000.0,56.0,2.0,2.0,90000.0,80.0,70,3.0,3.0,3.0,60.0,70.0,5.0,40000.0,156,65.0,1.0,2.0,1.0,5.0,80.0,3.0,70.0,50000.0,4.0,3.0,2.0,2.0,70.0,2.0,80.0,7.0,2.0,70.0,2.0,2,4.0,4.0,1917.0,5.0,4.0,3,1.0,4.0,4.0,2.0,4.0,2.0,1.0
4,3,4.0,6,185,3.0,6.877703604806409,60000.0,120.0,2.0,5.0,50000.0,100.0,30,5.0,5.0,5.0,100.0,100.0,1.0,45000.0,185,100.0,1.0,4.0,2.0,5.0,100.0,1.0,100.0,0.0,5.0,4.0,5.0,2.0,70.0,2.0,60.0,3.0,2.0,60.0,4.0,1,4.0,2.0,1945.0,5.0,7.0,3,3.0,2.0,4.0,15.0,4.0,2.0,1.0
2,3,2.0,5,120,3.0,6.0,20000.0,63.0,2.0,3.0,36000.0,70.0,40,6.0,2.0,3.0,60.0,70.0,2.0,0.0,162,80.0,1.0,4.0,2.0,4.0,80.0,2.0,70.0,36000.0,3.0,4.0,4.0,2.0,80.0,2.0,80.0,4.0,3.0,70.0,3.0,2,5.0,1.0,1944.0,3.0,3.0,3,2.0,3.0,5.0,2.0,4.0,1.0,1.0
2,3,2.0,1,90,3.0,1.0,50000.0,90.0,2.0,1.0,20000.0,30.0,50,1.0,5.0,4.0,50.0,50.0,5.0,0.0,155,50.0,1.0,4.0,3.0,4.0,50.0,1.0,50.0,20000.0,1.0,6.0,5.0,2.0,50.0,2.0,40.0,1.0,4.0,50.0,4.0,2,4.0,1.0,1922.0,3.0,2.0,3,3.0,4.0,4.0,2.0,4.0,1.0,1.0
4,5,5.0,6,135,3.0,5.0,10000000.0,77.0,2.0,5.0,200000.0,70.0,30,4.0,4.0,3.0,70.0,70.0,2.0,100000.0,170,70.0,1.0,3.0,4.0,3.0,80.0,2.0,70.0,50000.0,4.0,7.0,4.0,1.0,70.0,2.0,70.0,6.0,3.0,70.0,4.0,1,7.0,2.0,1945.0,3.0,4.0,3,3.0,3.0,3.0,2.0,3.0,4.0,1.0
4,5,5.0,6,160,3.0,6.0,120000.0,91.0,2.0,4.0,100000.0,80.0,50,5.0,5.0,3.0,80.0,40.0,1.0,100000.0,175,50.0,2.0,4.0,5.0,1.0,60.0,1.0,50.0,0.0,3.0,4.0,4.0,1.0,80.0,2.0,80.0,5.0,4.0,50.0,4.0,1,4.0,1.0,1944.0,3.0,3.0,3,4.0,4.0,5.0,2.0,5.0,1.0,1.0
2,3,2.0,3,130,2.0,3.0,60000.0,71.0,2.0,5.0,80000.0,50.0,60,1.0,4.0,5.0,60.0,60.0,2.0,25000.0,165,50.0,1.0,4.0,2.0,1.0,50.0,2.0,50.0,20000.0,3.0,4.0,5.0,1.0,50.0,2.0,50.0,3.0,1.0,60.0,2.0,1,4.0,1.0,1929.0,5.0,5.0,3,3.0,2.0,5.0,1.0,4.0,1.0,3.0
4,2,1.0,1,120,3.0,4.0,1000.0,100.0,2.0,6.0,20000.0,100.0,60,3.0,5.0,4.0,100.0,100.0,5.0,2000.0,160,100.0,1.0,3.0,1.0,5.0,100.0,3.0,100.0,4000.0,1.0,1.0,4.0,2.0,100.0,3.0,100.0,1.0,4.0,100.0,4.0,2,3.0,1.0,1944.0,3.0,7.0,3,2.0,4.0,4.0,2.0,4.0,3.0,1.0
4,3,4.0,5,90,2.0,6.0,268194.0,220.0,3.0,5.0,40000.0,60.0,30,1.0,3.0,4.0,40.0,50.0,4.0,5000.0,154,50.0,1.0,3.0,1.0,5.0,60.0,2.0,70.0,30000.0,1.0,3.0,2.0,2.0,70.0,2.0,40.0,4.0,4.0,60.0,5.0,2,4.0,2.0,1963.0,3.0,2.0,3,4.0,5.0,4.0,15.0,4.0,1.0,1.0
4,3,3.0,7,120,3.0,7.0,268194.0,80.0,2.0,1.0,48000.0,90.0,70,5.0,2.0,3.0,75.0,70.0,5.0,48000.0,172,90.0,0.0,4.0,2.0,2.0,80.0,1.0,85.0,0.0,3.0,6.0,5.0,2.0,90.0,1.0,90.0,5.0,2.0,70.0,2.0,1,4.0,1.0,1944.0,4.0,5.0,3,2.0,2.0,4.0,4.0,3.0,2.0,1.0
1,5,4.0,4,65,3.0,6.0,268194.0,63.0,2.0,3.0,90000.0,80.0,50,6.0,2.0,4.0,50.0,60.0,4.0,35405.0,165,80.0,1.0,4.0,4.0,5.0,80.0,2.0,80.0,50000.0,2.0,6.0,4.0,1.0,90.0,2.0,60.0,4.0,2.0,60.0,2.0,1,6.0,1.0,1944.0,3.0,2.0,3,2.0,2.0,5.0,5.0,3.0,1.0,1.0
4,4,4.0,3,100,2.0,3.0,80000.0,80.0,2.0,2.0,60000.0,89.0,40,2.0,2.0,3.0,89.0,89.0,3.0,20000.0,156,89.0,1.0,3.0,2.0,5.0,85.0,2.0,85.0,30000.0,2.0,4.0,3.0,2.0,89.0,2.0,89.0,3.0,4.0,89.0,4.0,2,4.0,2.0,1953.0,3.0,2.0,3,3.0,5.0,4.0,2.0,3.0,4.0,1.0
4,3,4.0,6,126,3.0,4.0,30000.0,117.0,2.0,1.0,100000.0,69.0,40,2.0,3.0,4.0,40.0,66.0,2.0,19200.0,161,40.0,2.0,4.0,1.0,2.0,80.0,2.0,67.0,100000.0,3.0,4.0,5.0,1.0,70.0,2.0,60.0,8.0,4.0,30.0,4.0,2,6.0,1.0,1937.0,3.0,3.0,3,3.0,3.0,3.0,2.0,3.0,5.0,1.0
4,3,3.0,5,140,2.0,5.0,30000.0,79.0,2.0,2.0,20000.0,80.0,50,5.0,3.0,4.0,80.0,80.0,2.0,10000.0,158,80.0,1.0,3.0,1.0,4.0,80.0,1.0,80.0,10000.0,3.0,4.0,4.0,1.0,80.0,3.0,80.0,3.0,3.0,80.0,3.0,2,5.0,1.0,1943.0,3.0,5.0,3,3.0,3.0,4.0,1.0,4.0,2.0,1.0
2,3,4.0,4,135,2.0,7.0,200000.0,140.0,2.0,1.0,40000.0,60.0,20,7.0,2.0,2.0,40.0,40.0,1.0,40000.0,183,40.0,0.0,4.0,3.0,2.0,60.0,1.0,40.0,31069.0,3.0,10.0,3.0,9.0,70.0,2.0,80.0,1.0,2.0,50.0,2.0,1,5.0,4.0,1971.0,4.0,2.0,1,4.0,2.0,4.0,5.0,2.0,2.0,1.0
4,3,2.0,4,110,2.0,6.0,6000.0,80.0,2.0,2.0,40000.0,80.0,60,2.0,5.0,4.0,68.0,89.0,5.0,3000.0,168,78.0,1.0,4.0,3.0,5.0,80.0,1.0,79.0,1000.0,3.0,1.0,1.0,2.0,79.0,3.0,80.0,3.0,4.0,80.0,5.0,1,1.0,3.0,1922.0,5.0,2.0,3,4.0,3.0,5.0,2.0,4.0,2.0,1.0
4,3,4.0,6,146,3.0,8.0,120000.0,57.0,3.0,2.0,170000.0,50.0,30,6.0,4.0,3.0,60.0,50.0,2.0,80000.0,171,60.0,1.0,3.0,2.0,4.0,50.0,1.0,60.0,110000.0,3.0,11.0,5.0,1.0,70.0,2.0,60.0,4.0,3.0,50.0,4.0,1,10.0,1.0,1948.0,4.0,6.0,3,2.0,3.0,4.0,1.0,3.0,3.0,1.0
4,4,4.0,5,100,4.0,7.0,60000.0,90.0,2.0,2.0,40000.0,60.0,50,3.0,3.0,4.0,70.0,70.0,4.0,20000.0,175,70.0,1.0,2.0,2.0,3.0,60.0,1.0,60.0,20000.0,3.0,4.0,4.0,2.0,60.0,2.0,70.0,3.0,3.0,60.0,4.0,2,4.0,1.0,1939.0,4.0,4.0,3,2.0,2.0,5.0,15.0,3.0,1.0,1.0
4,2,2.0,10,120,4.0,10.0,150000.0,70.0,2.0,3.0,150000.0,80.0,80,3.0,5.0,3.0,80.0,70.0,5.0,100000.0,170,70.0,1.0,5.0,1.0,4.0,90.0,2.0,85.0,30000.0,5.0,12.0,2.0,2.0,90.0,1.0,85.0,10.0,4.0,70.0,4.0,1,3.0,1.0,1944.0,4.0,4.0,3,1.0,4.0,4.0,2.0,4.0,3.0,1.0
3,4,5.0,5,98,2.0,9.0,100000.0,240.0,2.0,2.0,150000.0,70.0,20,3.0,2.0,3.0,60.0,60.0,2.0,150000.0,168,60.0,0.0,3.0,1.0,3.0,60.0,1.0,65.0,10000.0,7.0,4.0,4.0,1.0,65.0,2.0,60.0,2.0,3.0,65.0,3.0,2,4.0,2.0,1967.0,3.0,3.0,3,3.0,3.0,5.0,1.0,5.0,1.0,1.0
4,3,2.0,4,80,2.0,4.877703604806409,268194.0,40.0,2.0,2.0,10000.0,70.0,70,7.0,5.0,3.0,80.0,80.0,1.0,660.0,150,80.0,1.0,3.0,4.0,4.0,70.0,2.0,80.0,10000.0,3.0,1.0,1.0,2.0,80.0,3.0,80.0,5.0,4.0,80.0,4.0,2,4.0,4.0,1944.0,4.0,7.0,3,2.0,4.0,4.0,2.0,3.0,2.0,1.0
4,3,4.0,2,150,3.0,3.0,36000.0,25.0,2.0,1.0,30000.0,40.0,50,2.0,3.0,3.0,30.0,20.0,4.0,20000.0,172,50.0,1.0,4.0,2.0,5.0,40.0,2.0,20.0,10000.0,3.0,4.0,5.0,3.0,30.0,2.0,60.0,2.0,4.0,0.0,5.0,1,4.0,4.0,1944.0,4.0,5.0,3,3.0,4.0,4.0,4.0,3.0,4.0,1.0
2,4,5.0,6,105,4.0,6.0,100000.0,70.0,2.0,2.0,80000.0,70.0,40,3.0,4.0,4.0,70.0,80.0,3.0,60000.0,165,80.0,1.0,3.0,4.0,3.0,80.0,2.0,88.0,80000.0,3.0,5.0,3.0,2.0,98.0,2.0,80.0,5.0,4.0,80.0,4.0,2,9.0,2.0,1944.0,3.0,3.0,3,3.0,4.0,4.0,2.0,4.0,4.0,1.0
2,4,4.0,4,135,2.0,4.0,3000.0,24.2,2.0,1.0,15600.0,60.0,50,2.0,4.0,4.0,70.0,70.0,2.0,15600.0,173,60.0,1.0,3.0,2.0,3.0,60.0,2.0,70.0,31069.0,2.0,6.0,5.0,2.0,60.0,3.0,60.0,4.0,3.0,70.0,3.0,1,5.0,1.0,1938.0,4.0,3.0,6,3.0,3.0,4.0,4.0,2.0,2.0,1.0
4,5,4.0,8,120,3.0,8.0,50000.0,180.0,2.0,4.0,74276.0,80.0,40,2.0,2.0,4.0,80.0,90.0,1.0,35405.0,160,80.0,1.0,4.0,1.0,1.0,80.0,1.0,80.0,31069.0,3.0,10.0,2.0,16.0,60.0,2.0,90.0,5.0,5.0,70.0,4.0,2,3.0,4.0,1944.0,2.0,2.0,3,4.0,2.0,5.0,2.0,5.0,1.0,1.0
4,4,5.0,4,105,3.0,2.0,40000.0,180.0,2.0,2.0,35000.0,80.0,50,2.0,4.0,4.0,80.0,80.0,3.0,15000.0,160,80.0,1.0,4.0,2.0,4.0,80.0,1.0,80.0,20000.0,1.0,3.0,5.0,2.0,80.0,2.0,80.0,1.0,4.0,70.0,4.0,2,6.0,2.0,1944.0,3.0,5.0,3,2.0,4.0,5.0,2.0,5.0,2.0,1.0
4,3,4.0,6,120,3.0,6.0,20000.0,300.0,2.0,4.0,35000.0,70.0,40,3.0,5.0,3.0,70.0,70.0,3.0,12000.0,169,70.0,1.0,3.0,2.0,3.0,70.0,2.0,70.0,10000.0,6.0,4.0,4.0,16.0,70.0,2.0,70.0,6.0,5.0,70.0,5.0,2,6.0,1.0,1944.0,3.0,3.0,3,3.0,5.0,5.0,2.0,5.0,1.0,8.0
4,3,3.0,4,122,2.0,5.0,100000.0,15.0,2.0,2.0,10000.0,85.0,50,3.0,5.0,3.0,70.0,70.0,2.0,10000.0,160,70.0,1.0,3.0,1.0,5.0,85.0,3.0,90.0,31069.0,1.0,4.0,5.0,2.0,90.0,2.0,90.0,2.0,2.0,70.0,3.0,1,5.0,1.0,1930.0,4.0,7.0,7,3.0,4.0,4.0,2.0,4.0,1.0,1.0
4,4,3.0,4,115,2.0,4.0,50000.0,90.0,2.0,4.0,30000.0,70.0,40,2.0,4.0,4.0,50.0,70.0,5.0,20000.0,162,70.0,1.0,5.0,1.0,5.0,70.0,2.0,60.0,10000.0,3.0,4.0,5.0,1.0,70.0,2.0,70.0,3.0,4.0,80.0,4.0,2,6.0,1.0,1931.0,4.0,2.0,3,4.0,2.0,4.0,2.0,3.0,2.0,1.0
1,5,3.0,5,115,2.0,7.0,50000.0,56.0,2.0,4.0,20000.0,100.0,30,3.0,4.0,3.0,100.0,100.0,2.0,10000.0,159,100.0,1.0,5.0,3.0,1.0,100.0,1.0,60.0,0.0,5.0,4.0,5.0,11.0,100.0,2.0,100.0,5.0,3.0,100.0,3.0,2,6.0,1.0,1958.0,3.0,4.0,3,1.0,2.0,3.0,1.0,3.0,2.0,1.0
1,5,5.0,4,112,3.0,9.0,268194.0,126.0,2.0,4.0,60000.0,80.0,10,3.0,2.0,2.0,80.0,60.0,1.0,0.0,160,70.0,1.0,4.0,2.0,2.0,80.0,2.0,80.0,31069.0,7.0,6.0,4.0,8.0,90.0,2.0,90.0,4.0,3.0,60.0,3.0,2,5.0,1.0,1978.0,4.0,3.0,1,4.0,3.0,4.0,15.0,4.0,2.0,1.0
3,3,4.0,3,120,3.0,5.0,100000.0,200.0,2.0,4.0,70000.0,80.0,20,5.0,4.0,3.0,80.0,65.0,1.0,3000.0,167,65.0,1.0,3.0,2.0,2.0,70.0,2.0,70.0,31069.0,3.0,12.0,4.0,1.0,80.0,2.0,75.0,2.0,3.0,50.0,4.0,2,5.0,1.0,1970.0,4.0,5.0,1,3.0,3.0,5.0,15.0,4.0,1.0,1.0
4,4,5.0,3,125,2.0,9.0,100000.0,200.0,2.0,3.0,80000.0,60.0,20,6.0,2.0,2.0,80.0,70.0,4.0,55000.0,170,50.0,1.0,3.0,1.0,3.0,90.0,1.0,80.0,31069.0,2.0,4.0,3.0,12.0,70.0,3.0,70.0,2.0,2.0,70.0,4.0,1,5.0,1.0,1972.0,4.0,6.0,1,3.0,2.0,4.0,12.0,4.0,1.0,1.0
4,4,4.0,5,125,3.0,5.0,8000.0,65.0,2.0,3.0,10000.0,80.0,60,1.0,5.0,3.0,80.0,100.0,5.0,5000.0,160,90.0,1.0,4.0,1.0,3.0,100.0,2.0,100.0,5000.0,6.0,1.0,5.0,2.0,100.0,2.0,95.0,5.0,5.0,90.0,5.0,2,1.0,1.0,1935.0,3.0,2.0,3,4.0,4.0,5.0,15.0,4.0,3.0,1.0
4,5,5.0,4,125,3.0,5.0,20000.0,97.0,2.0,5.0,110000.0,70.0,60,7.0,5.0,4.0,100.0,80.0,2.0,20000.0,175,80.0,1.0,3.0,4.0,2.0,80.0,1.0,80.0,4200.0,3.0,3.0,5.0,2.0,100.0,1.0,80.0,3.0,5.0,80.0,5.0,1,3.0,1.0,1944.0,4.0,7.0,3,2.0,4.0,5.0,2.0,4.0,3.0,1.0
1,4,5.0,5,130,3.0,5.0,100000.0,50.0,3.0,2.0,30000.0,80.0,50,3.0,5.0,3.0,80.0,66.0,5.0,15000.0,170,60.0,1.0,3.0,2.0,5.0,60.0,2.0,60.0,15000.0,2.0,4.0,4.0,2.0,80.0,2.0,70.0,5.0,4.0,20.0,3.0,1,6.0,2.0,1944.0,4.0,3.0,3,2.0,3.0,3.0,2.0,3.0,1.0,1.0
4,5,4.0,5,100,3.0,5.0,48000.0,100.0,2.0,2.0,74276.0,90.0,80,1.0,4.0,4.0,90.0,66.0,5.0,48000.0,155,90.0,10.0,5.0,1.0,5.0,90.0,1.0,88.0,31069.0,3.0,1.0,4.0,1.0,70.0,3.0,69.0,4.0,2.0,66.0,4.0,2,5.0,1.0,1944.0,5.0,1.0,7,4.0,3.0,5.0,1.0,5.0,1.0,1.0
5,4,4.0,1,170,3.0,4.0,60000.0,160.0,2.0,3.0,60000.0,70.0,30,3.0,3.0,4.0,80.0,100.0,1.0,30000.0,186,80.0,1.0,4.0,1.0,5.0,100.0,2.0,80.0,30000.0,1.0,4.0,2.0,3.0,70.0,2.0,70.0,1.0,5.0,90.0,5.0,1,4.0,4.0,1955.0,5.0,4.0,3,1.0,5.0,5.0,2.0,5.0,5.0,1.0
4,5,4.0,5,150,4.0,6.0,100000.0,90.0,2.0,5.0,100000.0,70.0,30,7.0,4.0,3.0,60.0,50.0,2.0,80000.0,180,60.0,1.0,3.0,1.0,2.0,50.0,1.0,60.0,20000.0,3.0,10.0,3.0,3.0,70.0,2.0,60.0,3.0,3.0,40.0,4.0,1,10.0,2.0,1955.0,3.0,3.0,3,2.0,3.0,4.0,4.0,4.0,1.0,1.0
3,5,3.0,5,140,3.0,5.877703604806409,10000.0,34.0,2.0,2.0,30000.0,69.0,70,3.0,2.0,4.0,69.0,66.0,5.0,12000.0,160,69.0,1.0,5.0,1.0,5.0,50.0,1.0,50.0,15000.0,6.0,4.0,4.0,2.0,70.0,3.0,69.0,2.0,3.0,66.0,3.0,2,4.0,1.0,1944.0,5.0,4.0,3,1.0,3.0,5.0,2.0,5.0,1.0,1.0
3,5,3.0,5,160,3.0,4.0,30000.0,40.0,1.0,2.0,600000.0,100.0,60,7.0,4.0,5.0,100.0,100.0,2.0,30000.0,170,100.0,1.0,4.0,5.0,2.0,100.0,2.0,100.0,30000.0,5.0,4.0,5.0,1.0,100.0,2.0,100.0,6.0,2.0,100.0,2.0,1,4.0,1.0,1925.0,4.0,5.0,3,2.0,3.0,3.0,15.0,3.0,2.0,1.0
3,4,4.0,6,130,3.0,5.0,50000.0,57.0,3.0,2.0,63600.0,70.0,60,3.0,3.0,4.0,80.0,80.0,4.0,24000.0,160,90.0,1.0,4.0,3.0,1.0,90.0,1.0,90.0,39600.0,2.0,10.0,4.0,11.0,90.0,1.0,80.0,4.0,3.0,90.0,4.0,2,8.0,1.0,1944.0,4.0,4.0,3,1.0,3.0,4.0,15.0,4.0,1.0,1.0
2,5,4.0,6,125,3.0,7.0,13000.0,100.0,2.0,1.0,75000.0,60.0,50,1.0,5.0,3.0,60.0,50.0,1.0,3600.0,158,70.0,1.0,5.0,3.0,4.0,60.0,2.0,50.0,30000.0,3.0,4.0,5.0,2.0,60.0,2.0,60.0,4.0,4.0,50.0,5.0,2,4.0,1.0,1933.0,4.0,3.0,3,5.0,3.0,5.0,2.0,5.0,3.0,1.0
3,3,2.0,3,130,2.0,3.0,10000.0,333.0,2.0,3.0,5000.0,100.0,30,3.0,5.0,3.0,100.0,80.0,5.0,2500.0,157,100.0,1.0,4.0,1.0,4.0,100.0,1.0,100.0,2500.0,2.0,3.0,4.0,2.0,80.0,3.0,70.0,1.0,2.0,90.0,2.0,2,1.0,2.0,1962.0,5.0,4.0,3,1.0,3.0,5.0,2.0,2.0,1.0,1.0
2,5,5.0,5,175,2.0,7.0,55000.0,120.0,2.0,5.0,50000.0,55.0,40,1.0,5.0,4.0,55.0,0.0,3.0,35000.0,175,45.0,1.0,3.0,1.0,3.0,50.0,2.0,25.0,0.0,2.0,4.0,5.0,2.0,55.0,2.0,0.0,5.0,3.0,15.0,4.0,1,3.0,1.0,1948.0,4.0,3.0,3,4.0,3.0,5.0,2.0,3.0,2.0,1.0
4,5,5.0,5,120,4.0,9.0,268194.0,300.0,2.0,3.0,1000000.0,100.0,10,6.0,5.0,4.0,100.0,100.0,4.0,5000.0,180,100.0,30.0,2.0,1.0,4.0,100.0,2.0,100.0,31069.0,5.0,6.0,2.0,10.0,100.0,2.0,100.0,5.0,4.0,100.0,4.0,1,5.0,4.0,1969.0,4.0,6.0,1,2.0,3.0,4.0,10.0,4.0,2.0,4.0
3,4,2.0,5,130,3.0,6.0,70000.0,234.0,2.0,4.0,100000.0,70.0,60,2.0,4.0,4.0,80.0,80.0,4.0,0.0,156,80.0,1.0,3.0,1.0,3.0,80.0,1.0,80.0,31069.0,3.0,3.0,5.0,2.0,70.0,2.0,80.0,3.0,4.0,80.0,5.0,2,5.0,1.0,1943.0,4.0,2.0,7,2.0,3.0,5.0,2.0,4.0,2.0,1.0
2,5,4.0,5,154,2.0,5.877703604806409,50000.0,100.0,2.0,3.0,10000.0,70.0,50,6.0,3.0,5.0,60.0,60.0,3.0,5000.0,176,60.0,1.0,3.0,3.0,5.0,60.0,2.0,60.0,7000.0,5.0,8.0,4.0,1.0,60.0,2.0,70.0,7.0,3.0,50.0,3.0,1,8.0,1.0,1932.0,4.0,6.0,3,2.0,3.0,4.0,5.0,3.0,3.0,1.0
4,2,2.0,4,122,3.0,4.0,50000.0,115.0,2.0,2.0,90000.0,80.0,70,6.0,4.0,3.0,80.0,80.0,3.0,38000.0,162,80.0,2.0,4.0,2.0,5.0,80.0,2.0,80.0,50000.0,2.0,6.0,5.0,12.0,80.0,2.0,80.0,4.0,5.0,80.0,5.0,2,12.0,1.0,1922.0,4.0,6.0,3,3.0,5.0,5.0,12.0,5.0,2.0,4.0
3,3,3.0,4,118,3.0,6.0,50000.0,180.0,2.0,2.0,20000.0,90.0,70,3.0,5.0,3.0,80.0,80.0,5.0,20000.0,168,70.0,1.0,3.0,1.0,5.0,80.0,2.0,90.0,31069.0,4.0,1.0,3.0,2.0,70.0,3.0,90.0,5.0,4.0,80.0,5.0,1,1.0,1.0,1944.0,5.0,4.0,3,2.0,3.0,5.0,2.0,4.0,1.0,1.0
